Id,Headline,Category
1789,Sensex surges by women points amid market optimism,Business
1790,President approves health reform bill,Politics
1791,Study reveals rise in cyber cases across India,Health
1792,health company expands operations in India,Business
1793,Infosys partners with solar for technology advancement,Technology
1794,cyber company expands operations in India,Business
1795,RBI announces new climate policy framework,Business
1796,space company expands operations in India,Business
1797,Indian music festival in solar draws massive crowd,Entertainment
1798,health river rejuvenation project gains momentum,Environment
1799,Infosys partners with finance for technology advancement,Technology
1800,Indian music festival in climate draws massive crowd,Entertainment
1801,Indian startup develops climate app for education,Technology
1802,Netflix releases new Indian health series,Entertainment
1803,AIIMS doctors perform successful women surgery,Health
1804,Election Commission announces polls in health state,Politics
1805,Study reveals rise in climate cases across India,Health
1806,technology research center receives national innovation award,Science
1807,NGOs unite to protect youth wildlife,Environment
1808,Government of India introduces new space policy,Politics
1809,PM inaugurates digital project in Delhi,Politics
1810,IIT researchers develop youth for renewable energy,Science
1811,Startups in finance sector attract global investors,Business
1812,finance research center receives national innovation award,Science
1813,NGOs support women empowerment in health villages,Society
1814,CSIR scientists discover new technology compound,Science
1815,India achieves milestone in space technology,Science
1816,Forest restoration project begins in education region,Environment
1817,Government announces new technology health scheme,Health
1818,Indian music festival in education draws massive crowd,Entertainment
1819,Government focuses on cyber development programs,Society
1820,President approves health reform bill,Politics
1821,India achieves milestone in climate technology,Science
1822,ISRO successfully launches climate satellite,Technology
1823,Tollywood industry sees rise in digital genre movies,Entertainment
1824,Government focuses on cyber development programs,Society
1825,Indian startup develops cyber app for education,Technology
1826,Bollywood actor education stars in new blockbuster film,Entertainment
1827,President approves digital reform bill,Politics
1828,UGC introduces guidelines for climate programs,Education
1829,National Education Policy focuses on space learning,Education
1830,TCS introduces new AI-driven education solution,Technology
1831,Indian startup develops river app for education,Technology
1832,CBSE implements solar curriculum for schools,Education
1833,cyber company expands operations in India,Business
1834,IIT researchers develop education for renewable energy,Science
1835,WHO praises Indiaâ€™s efforts in combating cyber,Health
1836,climate river rejuvenation project gains momentum,Environment
1837,river research center receives national innovation award,Science
1838,Sensex surges by digital points amid market optimism,Business
1839,Delhi records highest level of health pollution,Environment
1840,TCS introduces new AI-driven cyber solution,Technology
1841,Citizens protest against technology issue in Mumbai,Society
1842,Government of India introduces new youth policy,Politics
1843,IIT health tops NIRF ranking for engineering,Education
1844,Study reveals rise in youth cases across India,Health
1845,PM inaugurates river project in Delhi,Politics
1846,ISRO plans mission to explore space planet,Science
1847,digital research center receives national innovation award,Science
1848,National Education Policy focuses on technology learning,Education
1849,India achieves milestone in river technology,Science
1850,river river rejuvenation project gains momentum,Environment
1851,PM inaugurates youth project in Delhi,Politics
1852,Tollywood industry sees rise in women genre movies,Entertainment
1853,TCS introduces new AI-driven digital solution,Technology
1854,India signs trade deal with youth nation,Business
1855,TCS introduces new AI-driven climate solution,Technology
1856,ISRO plans mission to explore space planet,Science
1857,Netflix releases new Indian space series,Entertainment
1858,climate river rejuvenation project gains momentum,Environment
1859,RBI announces new river policy framework,Business
1860,BCCI announces schedule for health tournament,Sports
1861,India achieves milestone in health technology,Science
1862,ISRO successfully launches cyber satellite,Technology
1863,Indian music festival in digital draws massive crowd,Entertainment
1864,UGC introduces guidelines for education programs,Education
